timestep,demand_el_reference_gas_szenario,demand_el_rapeseedoil_scenario,demand_heat_gascooker_reference,demand_heat_gasdeepfryer,demand_heat_gascooker_gasscenario,demand_heat_wws,r_wood_ofen_kitchen,r_wood_ofen_diningarea,demand_heat_wws_without_demand_heat_space_ofen_diningarea,demand_heat_space_ofen_diningarea,pv_G1_south_utilization rate_normalised,pv_G1_south_normalised,pv_G1_east_normalised,pv_G1_north_normalised,pv_G2_north_normalised,pv_G3_north_normalised,pv_G3_west_normalised,wind_bornay_1kW_20m,wind_10kW_20m_normalised
1555,1.21,1.21,0,0,0,8.29524012345679,0,0,8.29524012345679,0,0,0,0,0,0,0,0,0.131889198066238,0.107798801101792
1556,1.21,1.21,0,0,0,8.53028148148148,0,0,8.53028148148148,0,0,0,0,0,0,0,0,0.144629028285689,0.118211620680902
1557,1.21,1.21,0,0,0,8.77105555555556,0,0,8.77105555555556,0,0,0,0,0,0,0,0,0.133727348777202,0.109301201948803
1558,1.21,1.21,0,0,0,9.01182962962963,0,0,9.01182962962963,0,0,0,0,0,0,0,0,0.10630374050862,0.0868866893383491
1559,1.21,1.21,0,0,0,9.24687098765432,0,0,9.24687098765432,0,0,0,0,0,0,0,0,0.0646418875167541,0.0528346375399396
1560,1.21,1.21,0,0,0,9.4876450617284,0,0,9.4876450617284,0,0,0,0,0,0,0,0,0,0
1561,1.21,1.21,0,0,0,9.72268641975309,0,0,9.72268641975309,0,0,0,0,0,0,0,0,0,0
1562,1.21,1.21,0,0,0,9.96346049382716,0,0,9.96346049382716,0,0,0,0,0,0,0,0,0,0
1563,1.21,1.21,0,0,0,10.2099672839506,0,0,10.2099672839506,0,0,0,0,0,0,0,0,0,0
1564,1.21,1.21,0,0,0,10.3303543209877,0,0,10.3303543209877,0,0,0,0,0,0,0,0,0,0
1565,1.21,1.21,0,0,0,10.4507413580247,0,0,10.4507413580247,0,0,0,0,0,0,0,0,0,0
1566,1.21,1.21,0,0,0,10.5367320987654,0,0,10.5367320987654,0,0,0,0,0,0,0,0,0,0
1567,1.21,1.21,0,0,0,10.5252666666667,0,0,10.5252666666667,0,0,0,0,0,0,0,0,0,0
1568,1.21,1.21,0,0,0,10.1698382716049,0,0,10.1698382716049,0,0.0217995343154283,0.0456732954545455,0.0720964912280702,0.0464499151103565,0.0381381578947368,0.0412017543859649,0.0375548245614035,0,0
1569,1.21,1.21,0,0,0,9.77428086419753,0,0,9.77428086419753,0,0.0608012700423564,0.127387784090909,0.148640350877193,0.111061120543294,0.0984495614035088,0.10518201754386,0.0970592105263158,0,0
1570,1.21,1.21,0,0,0,9.28126728395062,27.7777777777778,12.987012987013,0,9.28126728395062,0.121540166595971,0.254644886363636,0.262004385964912,0.173225806451613,0.150083333333333,0.160296052631579,0.147975877192982,0,0
1571,1.63368505598284,17.6644675382844,0.0359651826329297,11.7,0.0719303652658594,9.10253025562348,27.7777777777778,12.987012987013,0.228285811179033,8.87424444444444,0.14261833795464,0.298806818181818,0.284706140350877,0.216578947368421,0.185901315789474,0.198203947368421,0.182888157894737,0,0
1572,1.95144884796996,18.0803181919977,0.0629390696076272,11.7,0.125878139215254,8.93551436709417,27.7777777777778,12.987012987013,0.399500169563307,8.53601419753086,0.161825304651041,0.339048295454545,0.299824561403509,0.241774193548387,0.204918859649123,0.217517543859649,0.204820175438597,0,0
1573,2.16329137596138,18.3575519611399,0.0809216609240922,11.7,0.161843321848184,8.87194307515282,27.7777777777778,12.987012987013,0.513643075152823,8.3583,0.119858794290744,0.251122159090909,0.252539473684211,0.233336162988115,0.20181798245614,0.216723684210526,0.203572368421053,0,0
1574,2.26921263995709,18.496168845711,0.0899129565823247,11.7,0.179825913164649,8.80862749091054,27.7777777777778,0,8.80862749091054,0,0.113302798245767,0.237386363636364,0.230543859649123,0.21848896434635,0.188839912280702,0.207456140350877,0.209478070175439,0.0923091103336078,0.0754482669591973
1575,2.26921263995709,18.496168845711,0.0899129565823245,11.7,0.179825913164649,8.7914293427624,27.7777777777778,0,8.7914293427624,0,0.0876347516829093,0.183607954545455,0.170434210526316,0.176876061120543,0.155247807017544,0.172388157894737,0.17330701754386,0.137925463766395,0.112732504658637
1576,2.16329137596138,18.3575519611399,0.0809216609240922,11.7,0.161843321848184,8.87194307515282,27.7777777777778,0,8.87194307515282,0,0.048138773854969,0.100857954545455,0.107811403508772,0.113803056027165,0.101728070175439,0.116372807017544,0.10640350877193,0.150544951683928,0.123046963219113
1577,1.95144884796996,18.0803181919977,0.0629390696076272,11.7,0.125878139215254,9.01003967573615,27.7777777777778,0,9.01003967573615,0,0.0138394568010462,0.0289957386363636,0.0321565789473684,0.045402376910017,0.0377675438596491,0.0421995614035088,0.0384210526315789,0.37736012371607,0.308432908203645
1578,1.63368505598284,1.7644675382844,0.0359651826329297,0,0.0719303652658594,9.14265926796915,27.7777777777778,0,9.14265926796915,0,0,0,0,0,0,0,0,0.395148434454399,0.322972071374953
1579,1.21,1.21,0,0,0,9.22394012345679,0,0,9.22394012345679,0,0,0,0,0,0,0,0,0.213088019007539,0.174166143360976
1580,1.21,1.21,0,0,0,9.53350679012346,0,0,9.53350679012346,0,0,0,0,0,0,0,0,0.154069274006484,0.125927545758382
1581,1.21,1.21,0,0,0,9.83734074074074,0,0,9.83734074074074,0,0,0,0,0,0,0,0,0.139344114618725,0.113892029951879
1582,1.21,1.21,0,0,0,10.1469074074074,0,0,10.1469074074074,0,0,0,0,0,0,0,0,0.140772460086204,0.115059479077441
1583,1.21,1.21,0,0,0,10.4564740740741,0,0,10.4564740740741,0,0,0,0,0,0,0,0,0.131889198066238,0.107798801101792
1584,1.21,1.21,0,0,0,10.7660407407407,0,0,10.7660407407407,0,0,0,0,0,0,0,0,0.0805840489873612,0.0658648622945063
1585,1.21,1.21,0,0,0,11.0641419753086,0,0,11.0641419753086,0,0,0,0,0,0,0,0,0.112769168077809,0.0921711656319958
1586,1.21,1.21,0,0,0,11.4367685185185,0,0,11.4367685185185,0,0,0,0,0,0,0,0,0.144143152897651,0.117814493508371
1587,1.21,1.21,0,0,0,11.8151277777778,0,0,11.8151277777778,0,0,0,0,0,0,0,0,0.132806153297786,0.108548268655422
1588,1.21,1.21,0,0,0,12.0444364197531,0,0,12.0444364197531,0,0,0,0,0,0,0,0,0.100471336421639,0.082119610780468
1589,1.21,1.21,0,0,0,12.2737450617284,0,0,12.2737450617284,0,0,0,0,0,0,0,0,0.0963325991671669,0.0787368400862118
1590,1.21,1.21,0,0,0,12.4514592592593,0,0,12.4514592592593,0,0,0,0,0,0,0,0,0.106700395848466,0.0872108930693068
1591,1.21,1.21,0,0,0,12.5087864197531,0,0,12.5087864197531,0,0,0,0,0,0,0,0,0.103554643825497,0.0846397325678277
1592,1.21,1.21,0,0,0,12.0272382716049,0,0,12.0272382716049,0,0.104021351931833,0.217940340909091,0.45030701754386,0.0036106960950764,0.0020518201754386,0.00228837719298246,0.00205111842105263,0.100853356303881,0.082431852312804
1593,1.21,1.21,0,0,0,11.459699382716,0,0,11.459699382716,0,0.225229311902981,0.471889204545455,0.595394736842105,0.00481578947368421,0.00196763157894737,0.00217563596491228,0.00196228070175439,0.0937589653591009,0.076633296785833
1594,1.21,1.21,0,0,0,10.9036259259259,27.7777777777778,12.987012987013,0.903625925925926,10,0.319501416355314,0.669403409090909,0.645394736842105,0.0370653650254669,0.00220504385964912,0.00242631578947368,0.00218149122807018,0.105119675133891,0.0859189010001582
1595,1.63368505598284,17.6644675382844,0.0359651826329297,11.7,0.0719303652658594,10.6446308729074,27.7777777777778,12.987012987013,0.644630872907427,10,0.381712191648705,0.799744318181818,0.625964912280702,0.0781213921901528,0.00278114035087719,0.00300899122807018,0.00267828947368421,0.0856261383637057,0.0699859821268146
1596,1.95144884796996,18.0803181919977,0.0629390696076272,11.7,0.125878139215254,10.4317532559831,27.7777777777778,12.987012987013,0.431753255983057,10,0.402641209012556,0.84359375,0.55109649122807,0.106842105263158,0.00274649122807018,0.0028,0.24594298245614,0.114842079313131,0.093865446507416
1597,2.16329137596138,18.3575519611399,0.0809216609240922,11.7,0.161843321848184,10.282191223301,27.7777777777778,12.987012987013,0.513643075152823,9.76854814814815,0.366945946161673,0.768806818181818,0.420785087719298,0.106833616298812,0.00247521929824561,0.00308706140350877,0.452039473684211,0.147567226614991,0.120613138484801
1598,2.26921263995709,18.496168845711,0.0899129565823247,11.7,0.179825913164649,10.2188756390587,27.7777777777778,0,10.2188756390587,0,0.306104675729797,0.641335227272727,0.251793859649123,0.0817427843803056,0.00206986842105263,0.298070175438596,0.483157894736842,0.127367683276622,0.104103169612397
1599,2.26921263995709,18.496168845711,0.0899129565823245,11.7,0.179825913164649,10.2360737872068,27.7777777777778,0,10.2360737872068,0,0.233798886878008,0.48984375,0.0285622807017544,0.0431477079796265,0.00186087719298246,0.336162280701754,0.448267543859649,0.109909218501767,0.0898336039512122
