demand_el;generation_pv_normalised;demand_heat;generation_wirtschaftsherd_normalised
1,21;0;11,39090679;0
1,21;0,005119318;11,22465802;27,77777778
2,692897696;0,073321023;11,71586697;27,77777778
3,805070968;0,100009943;12,05131057;27,77777778
4,546519816;0,162798295;12,11633449;27,77777778
4,91724424;0,062234375;12,27209984;27,77777778
4,91724424;0,101978693;12,18037638;27,77777778
4,546519816;0,013564347;12,10486905;27,77777778
3,805070968;0;11,87359637;27,77777778
2,692897696;0;11,25724969;27,77777778
1,21;0;10,41061235;0
1,21;0;10,48513765;0
1,21;0;10,55966296;0
1,21;0;10,62845556;0
1,21;0;10,70298086;0
1,21;0;10,77750617;0
1,21;0;10,89216049;0
1,21;0;11,02974568;0
1,21;0;11,16733086;0
1,21;0;11,39663951;0
1,21;0;11,25905432;0
1,21;0;11,29918333;0
1,21;0;11,34504506;0
1,21;0;11,35077778;0
1,21;0;11,31064877;0
1,21;0,00431179;11,24185617;27,77777778
4,016913496;0,012143466;12,966055;27,77777778
6,122098618;0,017732955;14,24917187;27,77777778
7,525555366;0,013861506;15,11987036;27,77777778
8,22728374;0,0106875;15,5552196;27,77777778
8,22728374;0,003760938;15,57241775;27,77777778
7,525555366;0;15,1714648;27,77777778
7,525555366;0;14,33516261;27,77777778
4,016913496;0;13,06924389;27,77777778
1,21;0;11,35651049;0
1,21;0;11,4310358;0
1,21;0;11,51129383;0
1,21;0;11,58581914;0
1,21;0;11,73486975;0
1,21;0;11,7520679;0
1,21;0;11,83232593;0
1,21;0;11,91831667;0
1,21;0;12,00430741;0
1,21;0;12,0387037;0
1,21;0;12,07883272;0
1,21;0;12,10176358;0
1,21;0;12,12469444;0
1,21;0;12,11322901;0
1,21;0;11,94124753;0
1,21;0,082586648;11,42530309;0
1,21;0,142021307;10,91509136;0
1,21;0,084637784;10,7144463;0
1,21;0,432329545;10,06091667;0
1,21;0,450639205;9,608032099;0
1,21;0,209928977;9,550704938;0
1,21;0,192627841;9,72268642;0
1,21;0;10,11251111;0
1,21;0;10,26156173;0
1,21;0;10,40487963;0
1,21;0;10,54819753;0
1,21;0;10,69151543;0
1,21;0;10,83483333;0
1,21;0;10,98388395;0
1,21;0;11,12720185;0
1,21;0;11,31064877;0
1,21;0;11,51129383;0
1,21;0;11,70620617;0
1,21;0;11,81512778;0
1,21;0;11,91831667;0
1,21;0;11,99857469;0
1,21;0;12,0731;0
1,21;0;12,08456543;0
1,21;0;12,02723827;0
1,21;0,009666477;11,94698025;0
1,21;0,027237216;11,86098951;0
1,21;0,041599432;11,78073148;0
1,21;0,035190341;11,74633519;0
1,21;0,02959233;11,73486975;0
1,21;0,012606534;11,7520679;0
1,21;0;11,82086049;0
1,21;0;11,90685123;0
1,21;0;12,01577284;0
1,21;0;12,14189259;0
1,21;0;12,23361605;0
1,21;0;12,43426111;0
1,21;0;12,45145926;0
1,21;0;12,56038086;0
1,21;0;12,66930247;0
1,21;0;12,72662963;0
1,21;0;12,81835309;0
1,21;0;12,81835309;0
1,21;0;12,84128395;0
1,21;0;12,86994753;0
1,21;0;12,88714568;0
1,21;0;12,91007654;0
1,21;0;12,91007654;0
1,21;0;12,81835309;0
1,21;0,006229261;12,69223333;27,77777778
1,633685056;0,012291761;12,81733026;27,77777778
